datum,prvih_pet,zadnji_dve,zmagovalci,sodelujoči
05-01-2018,"2,7,38,40,45","7,10","712,889","21,310,771"
12-01-2018,"16,17,25,40,44","2,9","914,481","24,505,497"
19-01-2018,"3,9,17,45,47","4,9","1,091,855","28,051,329"
26-01-2018,"10,23,26,29,35","3,5","1,512,948","35,652,257"
02-02-2018,"15,24,29,33,41","7,8","1,800,492","47,338,185"
09-02-2018,"7,8,24,34,46","4,8","2,101,947","50,386,168"
16-02-2018,"4,8,19,25,44","9,10","649,719","18,997,007"
23-02-2018,"18,26,33,42,46","4,10","636,392","19,284,479"
02-03-2018,"16,18,20,27,46","3,5","854,970","20,740,030"
09-03-2018,"15,23,28,33,36","4,7","1,005,720","22,437,223"
16-03-2018,"4,27,37,48,49","3,4","660,291","17,137,722"
23-03-2018,"4,14,22,33,42","1,10","584,750","17,880,450"
30-03-2018,"5,15,17,29,32","5,7","734,296","16,148,196"
06-04-2018,"6,8,16,23,50","4,8","705,366","16,544,298"
13-04-2018,"3,10,21,25,34","7,10","681,490","18,916,770"
20-04-2018,"22,24,25,28,46","2,4","727,019","18,588,642"
27-04-2018,"9,21,31,32,33","9,10","647,776","20,731,505"
04-05-2018,"24,26,29,36,49","3,6","925,321","23,074,789"
11-05-2018,"3,14,17,37,39","5,10","905,671","24,781,675"
18-05-2018,"1,11,23,41,44","2,8","1,182,442","29,756,317"
25-05-2018,"15,31,35,40,46","3,8","1,321,179","35,775,782"
01-06-2018,"14,19,21,30,32","4,7","1,685,356","39,637,773"
08-06-2018,"5,13,22,36,39","9,10","1,465,411","41,682,699"
15-06-2018,"1,5,7,9,21","3,10","1,653,385","42,268,189"
22-06-2018,"16,24,33,35,43","6,7","1,638,435","42,118,940"
29-06-2018,"9,18,30,47,48","4,6","1,535,814","42,145,418"
06-07-2018,"2,7,24,38,45","5,8","1,807,268","42,501,202"
13-07-2018,"13,14,21,34,46","2,5","846,885","21,097,545"
20-07-2018,"13,33,40,42,43","7,9","764,473","20,559,825"
27-07-2018,"2,22,40,43,50","3,8","675,312","18,305,040"
03-08-2018,"4,8,12,25,31","7,8","850,241","19,554,498"
10-08-2018,"4,15,17,21,23","6,7","847,385","20,426,598"
17-08-2018,"2,12,32,43,44","3,4","852,889","21,744,031"
24-08-2018,"8,25,26,38,48","6,9","861,368","23,593,497"
31-08-2018,"3,6,9,18,24","2,7","1,235,343","26,151,226"
07-09-2018,"4,7,28,36,43","1,6","679,780","18,458,535"
14-09-2018,"24,33,35,46,49","5,9","703,083","19,226,000"
21-09-2018,"5,8,16,42,46","2,10","688,760","20,485,910"
28-09-2018,"3,8,13,18,40","6,10","742,952","21,390,244"
05-10-2018,"12,15,32,44,49","5,7","938,712","23,214,708"
12-10-2018,"6,26,31,42,50","2,9","891,601","26,192,555"
19-10-2018,"9,12,28,32,48","7,8","1,265,601","30,439,400"
26-10-2018,"18,19,33,38,44","4,10","1,340,467","36,366,433"
02-11-2018,"5,17,27,33,42","9,10","1,384,565","38,837,833"
09-11-2018,"8,32,34,46,49","3,5","1,559,985","40,212,913"
16-11-2018,"13,15,18,39,45","5,6","1,566,565","40,955,592"
23-11-2018,"17,22,28,31,46","5,10","687,586","20,568,465"
30-11-2018,"18,22,35,36,41","3,4","802,185","21,197,792"
